alpha.air_average,Points:0,Points:1,Points:2
0.638879,0,0,0
0.63414,0.01,0,0
0.629393,0.02,0,0
0.634585,0.03,0,0
0.646611,0.04,0,0
0.658502,0.05,0,0
0.665392,0.06,0,0
0.665621,0.07,0,0
0.663165,0.08,0,0
0.656474,0.09,0,0
0.644343,0.1,0,0
0.628947,0.11,0,0
0.625161,0.12,0,0
0.638665,0.13,0,0
0.645793,0.14,0,0
0.643285,0.15,0,0
0.634362,0.16,0,0
0.628403,0.17,0,0
0.628446,0.18,0,0
0.627124,0.19,0,0
0.631763,0.2,0,0
0.647343,0.21,0,0
0.659875,0.22,0,0
0.656602,0.23,0,0
0.647033,0.24,0,0
0.636028,0.25,0,0
0.628233,0.26,0,0
0.627729,0.27,0,0
0.628874,0.28,0,0
0.631118,0,0.01,0
0.626095,0.01,0.01,0
0.622294,0.02,0.01,0
0.630199,0.03,0.01,0
0.64526,0.04,0.01,0
0.660177,0.05,0.01,0
0.669901,0.06,0.01,0
0.673172,0.07,0.01,0
0.674006,0.08,0.01,0
0.670173,0.09,0.01,0
0.658136,0.1,0.01,0
0.641083,0.11,0.01,0
0.635873,0.12,0.01,0
0.648589,0.13,0.01,0
0.655534,0.14,0.01,0
0.652806,0.15,0.01,0
0.644595,0.16,0.01,0
0.638754,0.17,0.01,0
0.637725,0.18,0.01,0
0.635803,0.19,0.01,0
0.642162,0.2,0.01,0
0.65828,0.21,0.01,0
0.66935,0.22,0.01,0
0.665357,0.23,0.01,0
0.653293,0.24,0.01,0
0.638412,0.25,0.01,0
0.628355,0.26,0.01,0
0.626882,0.27,0.01,0
0.627484,0.28,0.01,0
0.591879,0,0.02,0
0.587891,0.01,0.02,0
0.588618,0.02,0.02,0
0.604116,0.03,0.02,0
0.62777,0.04,0.02,0
0.651464,0.05,0.02,0
0.669517,0.06,0.02,0
0.681062,0.07,0.02,0
0.689514,0.08,0.02,0
0.691363,0.09,0.02,0
0.677162,0.1,0.02,0
0.653054,0.11,0.02,0
0.643648,0.12,0.02,0
0.653813,0.13,0.02,0
0.659825,0.14,0.02,0
0.657722,0.15,0.02,0
0.650576,0.16,0.02,0
0.642518,0.17,0.02,0
0.638184,0.18,0.02,0
0.635614,0.19,0.02,0
0.645789,0.2,0.02,0
0.663953,0.21,0.02,0
0.672514,0.22,0.02,0
0.668036,0.23,0.02,0
0.654484,0.24,0.02,0
0.63404,0.25,0.02,0
0.617686,0.26,0.02,0
0.611498,0.27,0.02,0
0.609839,0.28,0.02,0
0.546341,0,0.03,0
0.547684,0.01,0.03,0
0.557536,0.02,0.03,0
0.579965,0.03,0.03,0
0.610208,0.04,0.03,0
0.641226,0.05,0.03,0
0.667323,0.06,0.03,0
0.686522,0.07,0.03,0
0.700882,0.08,0.03,0
0.706111,0.09,0.03,0
0.688137,0.1,0.03,0
0.656407,0.11,0.03,0
0.64236,0.12,0.03,0
0.649732,0.13,0.03,0
0.655262,0.14,0.03,0
0.656,0.15,0.03,0
0.650638,0.16,0.03,0
0.63791,0.17,0.03,0
0.63063,0.18,0.03,0
0.630218,0.19,0.03,0
0.640307,0.2,0.03,0
0.655689,0.21,0.03,0
0.661966,0.22,0.03,0
0.65988,0.23,0.03,0
0.65388,0.24,0.03,0
0.63929,0.25,0.03,0
0.620914,0.26,0.03,0
0.605878,0.27,0.03,0
0.598595,0.28,0.03,0
0.535167,0,0.04,0
0.543433,0.01,0.04,0
0.562656,0.02,0.04,0
0.58894,0.03,0.04,0
0.621609,0.04,0.04,0
0.653303,0.05,0.04,0
0.679145,0.06,0.04,0
0.698436,0.07,0.04,0
0.712268,0.08,0.04,0
0.715231,0.09,0.04,0
0.695499,0.1,0.04,0
0.663652,0.11,0.04,0
0.648953,0.12,0.04,0
0.655682,0.13,0.04,0
0.661394,0.14,0.04,0
0.664608,0.15,0.04,0
0.661231,0.16,0.04,0
0.645927,0.17,0.04,0
0.63728,0.18,0.04,0
0.639607,0.19,0.04,0
0.644388,0.2,0.04,0
0.650217,0.21,0.04,0
0.655139,0.22,0.04,0
0.658931,0.23,0.04,0
0.663611,0.24,0.04,0
0.660011,0.25,0.04,0
0.645614,0.26,0.04,0
0.622833,0.27,0.04,0
0.608883,0.28,0.04,0
0.552742,0,0.05,0
0.566577,0.01,0.05,0
0.595842,0.02,0.05,0
0.627186,0.03,0.05,0
0.661318,0.04,0.05,0
0.686562,0.05,0.05,0
0.699935,0.06,0.05,0
0.710671,0.07,0.05,0
0.717006,0.08,0.05,0
0.713614,0.09,0.05,0
0.694461,0.1,0.05,0
0.667554,0.11,0.05,0
0.658623,0.12,0.05,0
0.667886,0.13,0.05,0
0.672532,0.14,0.05,0
0.67409,0.15,0.05,0
0.668786,0.16,0.05,0
0.654396,0.17,0.05,0
0.646062,0.18,0.05,0
0.649198,0.19,0.05,0
0.651207,0.2,0.05,0
0.652256,0.21,0.05,0
0.660146,0.22,0.05,0
0.673758,0.23,0.05,0
0.686681,0.24,0.05,0
0.686813,0.25,0.05,0
0.670689,0.26,0.05,0
0.639736,0.27,0.05,0
0.621276,0.28,0.05,0
0.57908,0,0.06,0
0.596617,0.01,0.06,0
0.636739,0.02,0.06,0
0.675613,0.03,0.06,0
0.709638,0.04,0.06,0
0.726022,0.05,0.06,0
0.723133,0.06,0.06,0
0.721366,0.07,0.06,0
0.717867,0.08,0.06,0
0.706999,0.09,0.06,0
0.687847,0.1,0.06,0
0.668655,0.11,0.06,0
0.66708,0.12,0.06,0
0.67498,0.13,0.06,0
0.676483,0.14,0.06,0
0.674266,0.15,0.06,0
0.663602,0.16,0.06,0
0.650438,0.17,0.06,0
0.646303,0.18,0.06,0
0.653202,0.19,0.06,0
0.660695,0.2,0.06,0
0.666521,0.21,0.06,0
0.6798,0.22,0.06,0
0.70374,0.23,0.06,0
0.723456,0.24,0.06,0
0.720471,0.25,0.06,0
0.692294,0.26,0.06,0
0.650317,0.27,0.06,0
0.629452,0.28,0.06,0
0.592488,0,0.07,0
0.609185,0.01,0.07,0
0.654466,0.02,0.07,0
0.703958,0.03,0.07,0
0.739343,0.04,0.07,0
0.752526,0.05,0.07,0
0.744264,0.06,0.07,0
0.733455,0.07,0.07,0
0.723164,0.08,0.07,0
0.705605,0.09,0.07,0
0.684615,0.1,0.07,0
0.673132,0.11,0.07,0
0.672371,0.12,0.07,0
0.66995,0.13,0.07,0
0.666253,0.14,0.07,0
0.661349,0.15,0.07,0
0.647107,0.16,0.07,0
0.634534,0.17,0.07,0
0.636871,0.18,0.07,0
0.653061,0.19,0.07,0
0.673244,0.2,0.07,0
0.688413,0.21,0.07,0
0.704139,0.22,0.07,0
0.729702,0.23,0.07,0
0.748005,0.24,0.07,0
0.736459,0.25,0.07,0
0.694925,0.26,0.07,0
0.64684,0.27,0.07,0
0.626314,0.28,0.07,0
0.593004,0,0.08,0
0.60311,0.01,0.08,0
0.645613,0.02,0.08,0
0.705268,0.03,0.08,0
0.741167,0.04,0.08,0
0.754738,0.05,0.08,0
0.754804,0.06,0.08,0
0.744947,0.07,0.08,0
0.732522,0.08,0.08,0
0.711303,0.09,0.08,0
0.688073,0.1,0.08,0
0.679299,0.11,0.08,0
0.674321,0.12,0.08,0
0.660735,0.13,0.08,0
0.651891,0.14,0.08,0
0.644827,0.15,0.08,0
0.630254,0.16,0.08,0
0.619611,0.17,0.08,0
0.62716,0.18,0.08,0
0.654854,0.19,0.08,0
0.687659,0.2,0.08,0
0.708528,0.21,0.08,0
0.722604,0.22,0.08,0
0.74175,0.23,0.08,0
0.751356,0.24,0.08,0
0.730141,0.25,0.08,0
0.681412,0.26,0.08,0
0.633535,0.27,0.08,0
0.614612,0.28,0.08,0
0.586619,0,0.09,0
0.589895,0.01,0.09,0
0.625899,0.02,0.09,0
0.689215,0.03,0.09,0
0.725467,0.04,0.09,0
0.742124,0.05,0.09,0
0.754727,0.06,0.09,0
0.751174,0.07,0.09,0
0.738212,0.08,0.09,0
0.716801,0.09,0.09,0
0.693875,0.1,0.09,0
0.683392,0.11,0.09,0
0.673338,0.12,0.09,0
0.654394,0.13,0.09,0
0.642752,0.14,0.09,0
0.634502,0.15,0.09,0
0.621749,0.16,0.09,0
0.613198,0.17,0.09,0
0.624885,0.18,0.09,0
0.661224,0.19,0.09,0
0.697742,0.2,0.09,0
0.716454,0.21,0.09,0
0.72829,0.22,0.09,0
0.742373,0.23,0.09,0
0.744118,0.24,0.09,0
0.716269,0.25,0.09,0
0.664807,0.26,0.09,0
0.61825,0.27,0.09,0
0.600194,0.28,0.09,0
0.574425,0,0.1,0
0.574471,0.01,0.1,0
0.605967,0.02,0.1,0
0.6684,0.03,0.1,0
0.70748,0.04,0.1,0
0.729518,0.05,0.1,0
0.748021,0.06,0.1,0
0.747046,0.07,0.1,0
0.734249,0.08,0.1,0
0.716071,0.09,0.1,0
0.69705,0.1,0.1,0
0.683335,0.11,0.1,0
0.667687,0.12,0.1,0
0.649012,0.13,0.1,0
0.637168,0.14,0.1,0
0.628484,0.15,0.1,0
0.619179,0.16,0.1,0
0.61523,0.17,0.1,0
0.632514,0.18,0.1,0
0.669474,0.19,0.1,0
0.699877,0.2,0.1,0
0.714734,0.21,0.1,0
0.727187,0.22,0.1,0
0.73721,0.23,0.1,0
0.732257,0.24,0.1,0
0.702496,0.25,0.1,0
0.650296,0.26,0.1,0
0.603831,0.27,0.1,0
0.586334,0.28,0.1,0
0.559565,0,0.11,0
0.559191,0.01,0.11,0
0.588827,0.02,0.11,0
0.648746,0.03,0.11,0
0.689207,0.04,0.11,0
0.713621,0.05,0.11,0
0.731254,0.06,0.11,0
0.730731,0.07,0.11,0
0.720764,0.08,0.11,0
0.708157,0.09,0.11,0
0.695482,0.1,0.11,0
0.680881,0.11,0.11,0
0.661497,0.12,0.11,0
0.644845,0.13,0.11,0
0.634388,0.14,0.11,0
0.62667,0.15,0.11,0
0.622299,0.16,0.11,0
0.627925,0.17,0.11,0
0.650704,0.18,0.11,0
0.680414,0.19,0.11,0
0.702166,0.2,0.11,0
0.716954,0.21,0.11,0
0.730337,0.22,0.11,0
0.733323,0.23,0.11,0
0.72249,0.24,0.11,0
0.693242,0.25,0.11,0
0.640002,0.26,0.11,0
0.592366,0.27,0.11,0
0.575734,0.28,0.11,0
0.545705,0,0.12,0
0.546962,0.01,0.12,0
0.574264,0.02,0.12,0
0.630262,0.03,0.12,0
0.672711,0.04,0.12,0
0.697711,0.05,0.12,0
0.710834,0.06,0.12,0
0.708497,0.07,0.12,0
0.701826,0.08,0.12,0
0.695831,0.09,0.12,0
0.691621,0.1,0.12,0
0.680159,0.11,0.12,0
0.660102,0.12,0.12,0
0.645397,0.13,0.12,0
0.637294,0.14,0.12,0
0.632141,0.15,0.12,0
0.634181,0.16,0.12,0
0.649162,0.17,0.12,0
0.671546,0.18,0.12,0
0.691341,0.19,0.12,0
0.708473,0.2,0.12,0
0.7255,0.21,0.12,0
0.737126,0.22,0.12,0
0.733191,0.23,0.12,0
0.719216,0.24,0.12,0
0.690182,0.25,0.12,0
0.634863,0.26,0.12,0
0.585785,0.27,0.12,0
0.570428,0.28,0.12,0
0.537602,0,0.13,0
0.5412,0.01,0.13,0
0.56585,0.02,0.13,0
0.617143,0.03,0.13,0
0.66258,0.04,0.13,0
0.689095,0.05,0.13,0
0.696702,0.06,0.13,0
0.689027,0.07,0.13,0
0.682967,0.08,0.13,0
0.681979,0.09,0.13,0
0.684286,0.1,0.13,0
0.678022,0.11,0.13,0
0.661773,0.12,0.13,0
0.650065,0.13,0.13,0
0.643224,0.14,0.13,0
0.640366,0.15,0.13,0
0.648949,0.16,0.13,0
0.667186,0.17,0.13,0
0.684417,0.18,0.13,0
0.697473,0.19,0.13,0
0.71264,0.2,0.13,0
0.730493,0.21,0.13,0
0.73981,0.22,0.13,0
0.733494,0.23,0.13,0
0.719458,0.24,0.13,0
0.690374,0.25,0.13,0
0.634046,0.26,0.13,0
0.582056,0.27,0.13,0
0.564942,0.28,0.13,0
0.536163,0,0.14,0
0.542804,0.01,0.14,0
0.568746,0.02,0.14,0
0.61647,0.03,0.14,0
0.660945,0.04,0.14,0
0.687012,0.05,0.14,0
0.692264,0.06,0.14,0
0.681984,0.07,0.14,0
0.673622,0.08,0.14,0
0.67167,0.09,0.14,0
0.675328,0.1,0.14,0
0.675307,0.11,0.14,0
0.666273,0.12,0.14,0
0.656208,0.13,0.14,0
0.648211,0.14,0.14,0
0.646953,0.15,0.14,0
0.658127,0.16,0.14,0
0.674902,0.17,0.14,0
0.690173,0.18,0.14,0
0.701624,0.19,0.14,0
0.713322,0.2,0.14,0
0.728421,0.21,0.14,0
0.736947,0.22,0.14,0
0.731828,0.23,0.14,0
0.71798,0.24,0.14,0
0.689681,0.25,0.14,0
0.637412,0.26,0.14,0
0.583469,0.27,0.14,0
0.561802,0.28,0.14,0
0.536632,0,0.15,0
0.546531,0.01,0.15,0
0.577379,0.02,0.15,0
0.625288,0.03,0.15,0
0.668731,0.04,0.15,0
0.693108,0.05,0.15,0
0.698594,0.06,0.15,0
0.690696,0.07,0.15,0
0.679116,0.08,0.15,0
0.670284,0.09,0.15,0
0.670384,0.1,0.15,0
0.674082,0.11,0.15,0
0.67025,0.12,0.15,0
0.659726,0.13,0.15,0
0.650372,0.14,0.15,0
0.649896,0.15,0.15,0
0.659019,0.16,0.15,0
0.673214,0.17,0.15,0
0.688427,0.18,0.15,0
0.699199,0.19,0.15,0
0.707946,0.2,0.15,0
0.719734,0.21,0.15,0
0.727201,0.22,0.15,0
0.722776,0.23,0.15,0
0.709135,0.24,0.15,0
0.683728,0.25,0.15,0
0.63808,0.26,0.15,0
0.587052,0.27,0.15,0
0.564729,0.28,0.15,0
0.534123,0,0.16,0
0.546636,0.01,0.16,0
0.581497,0.02,0.16,0
0.632655,0.03,0.16,0
0.67956,0.04,0.16,0
0.705536,0.05,0.16,0
0.71302,0.06,0.16,0
0.708445,0.07,0.16,0
0.694201,0.08,0.16,0
0.67629,0.09,0.16,0
0.669194,0.1,0.16,0
0.671022,0.11,0.16,0
0.668057,0.12,0.16,0
0.658224,0.13,0.16,0
0.650493,0.14,0.16,0
0.649719,0.15,0.16,0
0.653795,0.16,0.16,0
0.663266,0.17,0.16,0
0.675299,0.18,0.16,0
0.684281,0.19,0.16,0
0.693739,0.2,0.16,0
0.704634,0.21,0.16,0
0.71036,0.22,0.16,0
0.706894,0.23,0.16,0
0.696229,0.24,0.16,0
0.673953,0.25,0.16,0
0.630088,0.26,0.16,0
0.58232,0.27,0.16,0
0.56256,0.28,0.16,0
0.527701,0,0.17,0
0.54215,0.01,0.17,0
0.579431,0.02,0.17,0
0.632793,0.03,0.17,0
0.682487,0.04,0.17,0
0.713452,0.05,0.17,0
0.727257,0.06,0.17,0
0.725904,0.07,0.17,0
0.71085,0.08,0.17,0
0.687084,0.09,0.17,0
0.672093,0.1,0.17,0
0.668912,0.11,0.17,0
0.664369,0.12,0.17,0
0.656437,0.13,0.17,0
0.652331,0.14,0.17,0
0.650589,0.15,0.17,0
0.64774,0.16,0.17,0
0.649565,0.17,0.17,0
0.656603,0.18,0.17,0
0.665012,0.19,0.17,0
0.677336,0.2,0.17,0
0.688386,0.21,0.17,0
0.69248,0.22,0.17,0
0.688919,0.23,0.17,0
0.681297,0.24,0.17,0
0.660574,0.25,0.17,0
0.614949,0.26,0.17,0
0.567378,0.27,0.17,0
0.548159,0.28,0.17,0
0.520385,0,0.18,0
0.53487,0.01,0.18,0
0.572709,0.02,0.18,0
0.625816,0.03,0.18,0
0.67535,0.04,0.18,0
0.710648,0.05,0.18,0
0.732769,0.06,0.18,0
0.73712,0.07,0.18,0
0.724356,0.08,0.18,0
0.699611,0.09,0.18,0
0.678639,0.1,0.18,0
0.670038,0.11,0.18,0
0.663597,0.12,0.18,0
0.656482,0.13,0.18,0
0.654694,0.14,0.18,0
0.653036,0.15,0.18,0
0.64618,0.16,0.18,0
0.641673,0.17,0.18,0
0.643758,0.18,0.18,0
0.651078,0.19,0.18,0
0.663815,0.2,0.18,0
0.674019,0.21,0.18,0
0.675025,0.22,0.18,0
0.667991,0.23,0.18,0
0.661505,0.24,0.18,0
0.641478,0.25,0.18,0
0.595883,0.26,0.18,0
0.551024,0.27,0.18,0
0.532826,0.28,0.18,0
0.513862,0,0.19,0
0.525668,0.01,0.19,0
0.560925,0.02,0.19,0
0.615085,0.03,0.19,0
0.665317,0.04,0.19,0
0.701211,0.05,0.19,0
0.728014,0.06,0.19,0
0.739642,0.07,0.19,0
0.733854,0.08,0.19,0
0.712282,0.09,0.19,0
0.686791,0.1,0.19,0
0.672491,0.11,0.19,0
0.664492,0.12,0.19,0
0.656731,0.13,0.19,0
0.655086,0.14,0.19,0
0.653286,0.15,0.19,0
