alpha.air_average,Points:0,Points:1,Points:2
0.61341,0,0,0
0.610025,0.01,0,0
0.608904,0.02,0,0
0.617578,0.03,0,0
0.63128,0.04,0,0
0.645262,0.05,0,0
0.649498,0.06,0,0
0.632852,0.07,0,0
0.605026,0.08,0,0
0.583659,0.09,0,0
0.571433,0.1,0,0
0.577371,0.11,0,0
0.603166,0.12,0,0
0.627382,0.13,0,0
0.634937,0.14,0,0
0.63413,0.15,0,0
0.633277,0.16,0,0
0.632827,0.17,0,0
0.639123,0.18,0,0
0.645575,0.19,0,0
0.645912,0.2,0,0
0.643683,0.21,0,0
0.63805,0.22,0,0
0.627597,0.23,0,0
0.615799,0.24,0,0
0.605885,0.25,0,0
0.60129,0.26,0,0
0.608801,0.27,0,0
0.616449,0.28,0,0
0.605366,0,0.01,0
0.602133,0.01,0.01,0
0.602399,0.02,0.01,0
0.61397,0.03,0.01,0
0.631454,0.04,0.01,0
0.648406,0.05,0.01,0
0.654329,0.06,0.01,0
0.640258,0.07,0.01,0
0.615851,0.08,0.01,0
0.594822,0.09,0.01,0
0.580234,0.1,0.01,0
0.583904,0.11,0.01,0
0.609711,0.12,0.01,0
0.636798,0.13,0.01,0
0.645085,0.14,0.01,0
0.64264,0.15,0.01,0
0.642035,0.16,0.01,0
0.644204,0.17,0.01,0
0.651956,0.18,0.01,0
0.656364,0.19,0.01,0
0.65292,0.2,0.01,0
0.646717,0.21,0.01,0
0.63715,0.22,0.01,0
0.622963,0.23,0.01,0
0.607495,0.24,0.01,0
0.59513,0.25,0.01,0
0.588981,0.26,0.01,0
0.595347,0.27,0.01,0
0.602744,0.28,0.01,0
0.578311,0,0.02,0
0.578321,0.01,0.02,0
0.584362,0.02,0.02,0
0.601022,0.03,0.02,0
0.62455,0.04,0.02,0
0.646192,0.05,0.02,0
0.6547,0.06,0.02,0
0.645915,0.07,0.02,0
0.628334,0.08,0.02,0
0.607008,0.09,0.02,0
0.584949,0.1,0.02,0
0.581918,0.11,0.02,0
0.606511,0.12,0.02,0
0.637288,0.13,0.02,0
0.648989,0.14,0.02,0
0.647219,0.15,0.02,0
0.648478,0.16,0.02,0
0.656776,0.17,0.02,0
0.668755,0.18,0.02,0
0.670089,0.19,0.02,0
0.658974,0.2,0.02,0
0.643761,0.21,0.02,0
0.624683,0.22,0.02,0
0.600999,0.23,0.02,0
0.578291,0.24,0.02,0
0.562698,0.25,0.02,0
0.552375,0.26,0.02,0
0.551587,0.27,0.02,0
0.555377,0.28,0.02,0
0.559671,0,0.03,0
0.568558,0.01,0.03,0
0.585159,0.02,0.03,0
0.600782,0.03,0.03,0
0.620942,0.04,0.03,0
0.639753,0.05,0.03,0
0.646992,0.06,0.03,0
0.644352,0.07,0.03,0
0.633781,0.08,0.03,0
0.611019,0.09,0.03,0
0.580937,0.1,0.03,0
0.570661,0.11,0.03,0
0.5913,0.12,0.03,0
0.620656,0.13,0.03,0
0.637313,0.14,0.03,0
0.643577,0.15,0.03,0
0.650153,0.16,0.03,0
0.66312,0.17,0.03,0
0.679137,0.18,0.03,0
0.681664,0.19,0.03,0
0.666445,0.2,0.03,0
0.642613,0.21,0.03,0
0.612858,0.22,0.03,0
0.579376,0.23,0.03,0
0.553324,0.24,0.03,0
0.541705,0.25,0.03,0
0.531349,0.26,0.03,0
0.520014,0.27,0.03,0
0.516651,0.28,0.03,0
0.55791,0,0.04,0
0.573769,0.01,0.04,0
0.602336,0.02,0.04,0
0.623521,0.03,0.04,0
0.637749,0.04,0.04,0
0.644721,0.05,0.04,0
0.645653,0.06,0.04,0
0.646508,0.07,0.04,0
0.640213,0.08,0.04,0
0.614577,0.09,0.04,0
0.581629,0.1,0.04,0
0.569419,0.11,0.04,0
0.583205,0.12,0.04,0
0.604729,0.13,0.04,0
0.623877,0.14,0.04,0
0.643349,0.15,0.04,0
0.662095,0.16,0.04,0
0.678423,0.17,0.04,0
0.695585,0.18,0.04,0
0.70403,0.19,0.04,0
0.692953,0.2,0.04,0
0.667202,0.21,0.04,0
0.633227,0.22,0.04,0
0.598963,0.23,0.04,0
0.577382,0.24,0.04,0
0.567122,0.25,0.04,0
0.550236,0.26,0.04,0
0.529325,0.27,0.04,0
0.521128,0.28,0.04,0
0.553997,0,0.05,0
0.57027,0.01,0.05,0
0.608954,0.02,0.05,0
0.650646,0.03,0.05,0
0.672393,0.04,0.05,0
0.669714,0.05,0.05,0
0.659273,0.06,0.05,0
0.65547,0.07,0.05,0
0.647708,0.08,0.05,0
0.618302,0.09,0.05,0
0.586992,0.1,0.05,0
0.576784,0.11,0.05,0
0.582588,0.12,0.05,0
0.595018,0.13,0.05,0
0.614914,0.14,0.05,0
0.647286,0.15,0.05,0
0.682784,0.16,0.05,0
0.705432,0.17,0.05,0
0.722647,0.18,0.05,0
0.738435,0.19,0.05,0
0.739019,0.2,0.05,0
0.721744,0.21,0.05,0
0.694199,0.22,0.05,0
0.670089,0.23,0.05,0
0.653884,0.24,0.05,0
0.626928,0.25,0.05,0
0.586495,0.26,0.05,0
0.555031,0.27,0.05,0
0.5446,0.28,0.05,0
0.552169,0,0.06,0
0.565875,0.01,0.06,0
0.609292,0.02,0.06,0
0.664098,0.03,0.06,0
0.697729,0.04,0.06,0
0.699477,0.05,0.06,0
0.681733,0.06,0.06,0
0.669664,0.07,0.06,0
0.65717,0.08,0.06,0
0.625635,0.09,0.06,0
0.597205,0.1,0.06,0
0.586872,0.11,0.06,0
0.58692,0.12,0.06,0
0.595422,0.13,0.06,0
0.615891,0.14,0.06,0
0.656229,0.15,0.06,0
0.703658,0.16,0.06,0
0.732775,0.17,0.06,0
0.751265,0.18,0.06,0
0.773495,0.19,0.06,0
0.786715,0.2,0.06,0
0.779706,0.21,0.06,0
0.759506,0.22,0.06,0
0.744719,0.23,0.06,0
0.726134,0.24,0.06,0
0.676819,0.25,0.06,0
0.617008,0.26,0.06,0
0.578732,0.27,0.06,0
0.566418,0.28,0.06,0
0.550413,0,0.07,0
0.561265,0.01,0.07,0
0.604109,0.02,0.07,0
0.659195,0.03,0.07,0
0.698914,0.04,0.07,0
0.712451,0.05,0.07,0
0.696987,0.06,0.07,0
0.680102,0.07,0.07,0
0.662099,0.08,0.07,0
0.630186,0.09,0.07,0
0.6035,0.1,0.07,0
0.589558,0.11,0.07,0
0.585855,0.12,0.07,0
0.593814,0.13,0.07,0
0.615017,0.14,0.07,0
0.659596,0.15,0.07,0
0.711047,0.16,0.07,0
0.742764,0.17,0.07,0
0.763694,0.18,0.07,0
0.789415,0.19,0.07,0
0.808962,0.2,0.07,0
0.806567,0.21,0.07,0
0.789451,0.22,0.07,0
0.777901,0.23,0.07,0
0.752379,0.24,0.07,0
0.688632,0.25,0.07,0
0.623225,0.26,0.07,0
0.585432,0.27,0.07,0
0.572862,0.28,0.07,0
0.548533,0,0.08,0
0.557435,0.01,0.08,0
0.599729,0.02,0.08,0
0.65547,0.03,0.08,0
0.696768,0.04,0.08,0
0.715487,0.05,0.08,0
0.704355,0.06,0.08,0
0.685312,0.07,0.08,0
0.661858,0.08,0.08,0
0.630238,0.09,0.08,0
0.604244,0.1,0.08,0
0.585204,0.11,0.08,0
0.576908,0.12,0.08,0
0.584888,0.13,0.08,0
0.608041,0.14,0.08,0
0.653534,0.15,0.08,0
0.703751,0.16,0.08,0
0.736401,0.17,0.08,0
0.759718,0.18,0.08,0
0.785641,0.19,0.08,0
0.806,0.2,0.08,0
0.80617,0.21,0.08,0
0.793394,0.22,0.08,0
0.784205,0.23,0.08,0
0.753277,0.24,0.08,0
0.682457,0.25,0.08,0
0.616277,0.26,0.08,0
0.581161,0.27,0.08,0
0.570029,0.28,0.08,0
0.550537,0,0.09,0
0.558601,0.01,0.09,0
0.600591,0.02,0.09,0
0.658338,0.03,0.09,0
0.698421,0.04,0.09,0
0.715078,0.05,0.09,0
0.707184,0.06,0.09,0
0.688029,0.07,0.09,0
0.661469,0.08,0.09,0
0.63144,0.09,0.09,0
